2026-08-19T00:35:16.404 [DEBUG] desktop_shell::map_webview: map_webview: 开始异步创建 WebView（page=BlockPreview, generation=4, 上报状态=true）
2026-08-19T00:35:16.610 [DEBUG] desktop_shell::map_webview: map_webview: notify_status(page=BlockPreview, generation=4, available=true)
2026-08-19T00:37:12.812 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:14.815 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":164,"blocks":918232,"quads":6}}
2026-08-19T00:37:16.817 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:18.820 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:20.823 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:22.826 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:24.829 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:26.832 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:28.835 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:30.837 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:32.840 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:34.843 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:36.846 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:38.849 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:40.852 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:42.855 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:44.858 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:46.860 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:48.863 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:50.866 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:52.869 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:39:18.469 [DEBUG] desktop_shell::map_webview: map_webview: 开始异步创建 WebView（page=BlockPreview, generation=3, 上报状态=true）
2026-08-19T00:39:18.661 [DEBUG] desktop_shell::map_webview: map_webview: notify_status(page=BlockPreview, generation=3, available=true)
2026-08-19T00:39:20.699 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":162,"blocks":0,"quads":0}}
